galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
NGC4559,1.959985912462687,5,NGC4559_rotmod.dat,2.370198271685313,0.3574533011746877,0.0016597460431072,31.0,Peak,0.04001408753731295,0.24001408753731313
NGC5005,1.1553248632531194,5,NGC5005_rotmod.dat,2.9999999893329963,2.999999985314973,0.0022508950846946,8.0,Diffus,0.8446751367468806,1.0446751367468807
NGC5033,1.0850762703632855,5,NGC5033_rotmod.dat,1.7742365174353298,0.3403638093241747,0.0048131986675985,18.0,Peak,0.9149237296367145,1.1149237296367147
NGC5055,1.5541268007926186,5,NGC5055_rotmod.dat,1.6814938290744808,0.4985595590798722,0.0028993298520321,16.0,Peak,0.44587319920738144,0.6458731992073816
NGC5371,0.9920146955563662,5,NGC5371_rotmod.dat,1.8797763558206408,3.0,0.0787075974263339,19.0,Diffus,1.0079853044436338,1.207985304443634
NGC5585,2.0524066055123567,5,NGC5585_rotmod.dat,2.5636830219815328,0.3238481905453884,0.0012686240758347,24.0,Peak,0.05240660551235665,0.14759339448764353
NGC5907,1.1657341531643541,5,NGC5907_rotmod.dat,0.4354078448243355,3.0,0.0120203783084766,19.0,Diffus,0.8342658468356459,1.034265846835646
NGC5985,1.5906452388072523,5,NGC5985_rotmod.dat,0.647664930807695,0.8521426476207469,0.0092155607318415,33.0,Peak,0.4093547611927477,0.6093547611927479
NGC6015,2.4529593054988394,5,NGC6015_rotmod.dat,0.5963568592864694,2.9999999999999964,0.0080732412444359,44.0,Diffus,0.45295930549883945,0.0
NGC6195,1.4406371342019233,5,NGC6195_rotmod.dat,2.999999999999998,1.0835556932739931,0.0158121706306577,7.0,Peak,0.5593628657980767,0.7593628657980769
NGC6503,1.5688982345512317,5,NGC6503_rotmod.dat,0.705182641160763,1.6907307579872102,0.0038156404102908,30.0,Transition,0.4311017654487683,0.6311017654487685
NGC6674,1.2450773549326046,5,NGC6674_rotmod.dat,0.5047823255926205,1.202087186470116,0.0247712189137517,15.0,Transition,0.7549226450673954,0.9549226450673955
NGC6789,2.498988727064653,5,,,,,,,0.49898872706465314,0.0
NGC6946,0.8498054718252397,5,NGC6946_rotmod.dat,2.2565540735993985,0.4547250182197898,0.0044883387344119,47.0,Peak,1.1501945281747603,1.3501945281747605
NGC7331,1.4559823533448026,5,NGC7331_rotmod.dat,3.0,0.4459797174832505,0.000635300105075,25.0,Peak,0.5440176466551974,0.7440176466551975
NGC7793,3.8127290491659145,5,NGC7793_rotmod.dat,1.6386966816357285,0.590058244357327,0.0163697455385987,42.0,Peak,1.8127290491659145,1.0127290491659147
NGC7814,0.8451604747875945,5,NGC7814_rotmod.dat,2.2215792173281703,0.4983654593126799,0.0037354293841279,14.0,Peak,1.1548395252124055,1.3548395252124057
PGC51017,0.8977404338229499,5,,,,,,,1.1022595661770502,1.3022595661770504
UGC00128,2.109686027448026,5,UGC00128_rotmod.dat,0.5726851288098951,1.8764118009610995,0.004459911549505,22.0,Transition,0.10968602744802602,0.09031397255197415
UGC00191,2.4066642517831562,5,UGC00191_rotmod.dat,0.9758875614116344,0.9248554316081632,0.0095461008561059,9.0,Peak,0.40666425178315624,0.0
UGC00634,1.6552149731336248,5,,,,,,,0.34478502686637524,0.5447850268663754
